id,display-name,url
1054.stations.xmltv.tvmedia.ca,Food Network USA - Eastern Feed,
6120.stations.xmltv.tvmedia.ca,Bravo USA HD - Eastern Feed,www.bravotv.com
6111.stations.xmltv.tvmedia.ca,FX Networks East Coast HD,www.fxnetworks.com/main.html
11137.stations.xmltv.tvmedia.ca,Fox Sports 1 HD,www.foxsports.com
6917.stations.xmltv.tvmedia.ca,Cartoon Network USA HD - Eastern,www.cartoonnetwork.com
6333.stations.xmltv.tvmedia.ca,Lifetime Network US - Eastern Feed HD,www.mylifetime.com
4723.stations.xmltv.tvmedia.ca,Lifetime Movies HD - East,www.mylifetime.com/lmn
6219.stations.xmltv.tvmedia.ca,AMC - Eastern Feed HD,www.amc.com
6150.stations.xmltv.tvmedia.ca,Travel US HD - East,www.discovery.com
6659.stations.xmltv.tvmedia.ca,E! Entertainment USA HD - East,www.eonline.com
6994.stations.xmltv.tvmedia.ca,HLN HD,www.cnn.com/QUICKNEWS/
6996.stations.xmltv.tvmedia.ca,truTV USA - East HD,www.courttv.com
6334.stations.xmltv.tvmedia.ca,Paramount Network USA HD - Eastern Feed,www.thenewtnn.com
6957.stations.xmltv.tvmedia.ca,Comedy Central HD - Eastern Feed,www.cc.com
4525.stations.xmltv.tvmedia.ca,MTV USA HD - Eastern,www.mtv.com
6204.stations.xmltv.tvmedia.ca,VH1 HD - Eastern,www.vh1.com
6205.stations.xmltv.tvmedia.ca,BET HD - Eastern Feed,www.bet.com
6344.stations.xmltv.tvmedia.ca,CMT US - Eastern Feed HD,www.cmt.com
6110.stations.xmltv.tvmedia.ca,Freeform HD - East Feed,www.freeform.go.com
6342.stations.xmltv.tvmedia.ca,Nickelodeon USA - East Feed HD,www.nick.com
6112.stations.xmltv.tvmedia.ca,Disney HD - Eastern,
6213.stations.xmltv.tvmedia.ca,Hallmark Channel HD - Eastern,www.hallmarkchannel.com
627.stations.xmltv.tvmedia.ca,HBO HD - Eastern Feed,
6313.stations.xmltv.tvmedia.ca,HBO 2 - Eastern Feed HD,www.hbo.com
7099.stations.xmltv.tvmedia.ca,HBO Signature (HBO 3) - Eastern HD,www.hbo.com
7104.stations.xmltv.tvmedia.ca,HBO Family - Eastern Feed HD,www.hbo.com
6083.stations.xmltv.tvmedia.ca,Starz Encore HD - Eastern,www.starz.com
